ticker,n_pit,n_iex,P,D,K,V,spread_P,spread_D,seam_step_served,flag
QRTEA,10,10,,,,,,,,no_yahoo_history
QRVO,10,10,1.000075,1.000077,1.000001,1.0,0.0005,0.0009,0.953501,no_rebase_needed
QS,10,10,1.000626,1.0,0.999374,1.0,0.0008,0.0013,0.998601,no_rebase_needed
R,10,10,1.000062,0.906887,0.906831,1.0,0.0007,0.0011,0.880635,
RACE,10,10,1.000049,0.981104,0.981056,1.0,0.0014,0.0016,0.90584,
RAD,10,10,,,,,,,,no_yahoo_history
RBL,10,0,,,,,,,,no_seam_window
RBLX,10,10,1.000104,0.999944,0.99984,1.0,0.0012,0.0018,0.974486,no_rebase_needed
RCD,10,10,,,,,,,,no_yahoo_history
RCL,10,10,1.0,0.977273,0.977273,1.0,0.0005,0.0009,0.888979,
RE,10,10,,,,,,,,no_yahoo_history
REEMF,10,0,,,,,,,,no_seam_window
REG,10,10,1.0,0.844968,0.844968,1.0,0.0011,0.0096,0.818477,
REGN,10,10,1.0,0.993412,0.993412,1.0,0.0011,0.0009,0.991279,
REM,10,10,1.0,0.683057,0.683057,1.0,0.001,0.0012,0.671551,
REMX,10,10,1.000278,0.943535,0.943272,1.0,0.0041,0.0041,0.906985,
RENT,10,10,0.050043,1.00187,20.020026,0.05,0.0056,0.0058,19.696395,
RETL,10,10,0.999762,0.953781,0.954008,1.0,0.0061,0.0053,0.844311,
REW,10,10,0.125,0.42602,3.408157,0.125,0.0001,0.0087,3.672427,
REYN,10,10,1.0,0.872059,0.872059,1.0,0.0008,0.0018,0.862806,
REZ,10,10,1.00011,0.894885,0.894786,1.0,0.0016,0.0072,0.886112,
RF,10,10,1.0,0.841771,0.841771,1.0,0.0009,0.0082,0.785703,
RFG,10,10,,,,,,,,no_overlap_with_yahoo
RFV,10,10,,,,,,,,no_overlap_with_yahoo
RGI,10,10,5.0,4.926829,0.985366,5.0,0.0004,0.0176,0.955542,iex_side_unstable
